hashtags;timestamp;type;users_in_photo;user_id;likes
[u'boulder', u'fitfam', u'gravitonbouldergym', u'workout', u'running', u'climbing', u'neptunusrun', u'spartanrace', u'ocrwc', u'training', u'bouldering', u'crossfit', u'tojohansunde', u'trailrunning', u'graviton', u'subsportsnl', u'subsports', u'fitness', u'mittoughteam', u'ocr', u'toughest'];1447706462;image;2;1391212728;40
[u'body', u'love', u'power', u'awesome', u'it', u'tbt', u'icloud', u'cochem', u'hero', u'adrenalin', u'landscape', u'like', u'again', u'climbing', u'mosel', u'fit', u'nextyear', u'photographer', u'egenbergervigraphy', u'there', u'gopro', u'found', u'hero3black'];1447706454;image;0;1301297525;28
[u'climbing'];1447706429;image;0;193494921;4
[u'love', u'blackdiamond', u'gooutside', u'conqueringcrew', u'prana', u'sonyusa', u'petzl', u'sony', u'exposure', u'scarpa', u'blindphotography', u'climbing', u'bouldering', u'frictionlabs', u'explore', u'24hhh', u'beta', u'instagood', u'organicclimbing', u'liveauthentic', u'aacgram', u'blindsighted', u'adventure'];1447706410;image;15;3629275;20
[u'trainhard', u'ripped', u'explosive', u'minneninja', u'beyou', u'competition', u'stronggirls', u'americanninjawarrior', u'obstacletraining', u'anw', u'determination', u'pullups', u'fitgirls', u'rippedchicks', u'climbing', u'girlswholift', u'getit', u'calisthenics', u'nunchucks', u'barstarzz', u'bouldering', u'pursuepassion', u'gripstrength', u'ninjasmackdown', u'strongmoms', u'bodyweight', u'fitmoms', u'swing', u'griptraining', u'crosstraining'];1447706312;video;0;1397225674;76
[u'szlifowanie', u'wspin', u'climbing', u'formy', u'wspinanie', u'climb', u'najlepiej'];1447706306;image;0;1816678178;9
[u'lolchufferz', u'tradisrad', u'chuffer', u'climbingart', u'climbing'];1447706286;image;0;1599423611;11
[u'feelingtheburn', u'graniteplanet', u'penryn', u'climbing', u'lovedit', u'cornwall'];1447706283;image;0;1648716241;9
[u'mountains', u'hiking', u'outdoors', u'gefrorenersee', u'lake', u'fun', u'explore', u'adventure', u'climbing', u'follow', u'steiermark', u'bergen', u'cool', u'great', u'wilderness', u'grosserb\xf6senstein', u'glacier', u'sun', u'sky', u'snow', u'instagood', u'tagsforlikes', u'ilike', u'summit', u'\xf6sterreich', u'mountaineering', u'picoftheday', u'view'];1447706280;image;0;267928086;31
[u'wildlifephotography', u'nature', u'natuurfotografie', u'mountaineering', u'natuur', u'naturephotography', u'naturelovers', u'climbing', u'natureseekers', u'nationalgeography', u'repost', u'mountain', u'nationalgeographic', u'sherpa', u'nepal', u'snow', u'pictureoftheday', u'snowsnowsnow', u'nationalgeo', u'picoftheday'];1447706267;image;0;2246918180;15
[u'boulder', u'instalife', u'chile', u'escala', u'instalike', u'climbing'];1447706252;image;0;1193442295;5
[u'summer', u'walking', u'beauties', u'smiles', u'practice', u'trees', u'intothewoods', u'everywhere', u'climbing', u'throwback', u'love', u'friends', u'mood', u'nature', u'forest', u'happy'];1447706251;image;2;698344382;20
[u'mountain', u'climbing', u'vertical', u'gardalake', u'wall', u'montedigaino', u'rock', u'montecastellodigaino'];1447706248;image;0;1457901313;16
[u'americanfood', u'usa', u'foodporn', u'foodpics', u'roadto6a', u'pulledpork', u'climbing', u'climb', u'foodheaven'];1447706230;image;0;270704296;4
[u'bridge', u'workout', u'climbing', u'barranca', u'huentitan'];1447706189;image;0;1481102943;9
[u'sunsets', u'netherlands', u'holland', u'sunset_madness', u'bnw', u'trees', u'forest', u'climbing', u'blackandwhite'];1447706165;image;0;1600142082;18
